"","V1","V2","V3","V4","V5"
"176",40012,3,-97.0186607885084,3,-99.4734833440289
"177",40013,1,-30.821392833422,1,-30.5830682083825
"178",40014,2,-22.9897515993367,2,-23.2061110031154
"179",40015,1,-17.9407972534388,3,-20.2624291592742
"180",40016,1,-18.6044216565362,1,-20.4455385731765
"181",40017,3,-401.403322665404,3,-396.074504624703
"182",40018,1,-433.451493436198,1,-429.149531822743
"183",40019,4,-389.93806765611,3,-384.233482899202
"184",40020,1,-388.636856740435,1,-384.749346142422
"185",40021,1,-290.339326535826,1,-287.506009598327
"186",40022,4,-325.809982935344,1,-322.055440416755
"187",40023,4,-102.470526930668,4,-102.740976185392
"188",40024,4,-102.649592911085,4,-102.920042165809
"189",40025,4,-133.918943853722,4,-131.92946748973
"190",40026,1,-73.5794482311499,1,-73.741717783984
"191",40027,2,-94.901012225385,2,-94.1121139160401
"192",40028,4,-67.4089347756281,4,-67.6793840303515
"193",40029,1,-107.60709852442,1,-106.699343245437
"194",40030,4,-63.957419703545,4,-64.9986223574048
"195",40031,2,-155.831866868538,2,-154.621526496562
"196",40032,3,-130.695892945455,3,-130.912252349233
"197",40033,3,-116.462682610153,3,-109.51200413702
"198",40034,3,-339.814616442429,3,-338.223035351236
"199",40035,4,242.763485484094,4,248.857864608435
"200",40036,3,337.09194956365,3,341.804164885042
"201",40037,3,172.877713382797,3,177.055803133691
"202",40038,1,-70.0884062872923,1,-65.5988836028929
"203",40039,1,-81.7044849471118,1,-77.1254033732633
"204",40042,2,-920.172689085677,2,-910.263341827765
"205",40043,1,-998.839996060608,1,-991.407985617173
"206",40044,4,-38.3939174217974,4,-40.3467278596269
"207",40045,1,-218.171315684987,1,-214.283805086974
"208",40046,3,-174.866018558257,3,-170.324041694541
"209",40047,2,-1170.03684964484,1,-1162.61285089023
"210",40048,1,-1009.7138435417,1,-1002.92580391057
"211",40049,1,-727.023862747861,1,-721.410259715138
"212",40050,3,110.442188830637,3,122.265497061042
"213",40051,4,79.1104937579836,3,90.917159221635
"214",40052,4,-1291.30838900094,3,-1282.19912467831
"215",40053,4,-1311.73381814288,4,-1300.49134193263
"216",40054,3,-1252.81114321223,1,-1244.17863025749
"217",40055,1,-1318.04805144436,1,-1311.30256571822
"218",40056,4,-102.200863502631,4,-104.15367394046
"219",40057,3,-98.7391479273216,3,-99.5721100504094
"220",40058,3,-55.1667626489232,3,-57.6215852044437
"221",40059,4,-138.238047790715,4,-137.251924904034
"222",40060,4,-76.7651907849487,4,-78.7180012227782
"223",40061,2,-136.504785346071,2,-136.187019179352
"224",40062,1,-136.284896009557,1,-136.046571384518
"225",40063,3,-448.542672880261,3,-445.209819504036
"226",40064,3,-188.334491178367,3,-185.001637802142
"227",40065,1,-249.655768850097,1,-246.522201536927
"228",40066,3,-126.383415643419,1,-124.015596374484
"229",40067,1,-197.513472428064,1,-193.85684495346
"230",40068,4,-63.954499446323,4,-64.9957021001827
"231",40069,3,-47.6637137873918,3,-48.4966759104796
"232",40070,4,-30.5744424588018,4,-31.6156451126615
"233",40071,4,-38.142742327741,4,-39.1839449816007
"234",40072,3,-27.9050068390021,3,-28.7379689620899
"235",40073,4,-26.5502240748172,4,-27.5914267286769
"236",40074,4,-30.3746562716978,4,-31.4158589255576
"237",40075,3,-38.9773513014495,3,-39.8103134245373
"238",40076,1,-28.0124282325195,1,-28.6371498248353
"239",40077,4,-81.2700841188634,4,-82.3112867727231
"240",40078,3,-68.7259407739702,3,-69.5589028970579
"241",40079,4,-57.4272423579938,4,-58.4684450118536
"242",40080,1,-51.7703682132913,1,-52.3950898056071
"243",40081,1,-58.5009198734288,1,-59.1256414657447
"244",40082,4,-52.2454927689907,4,-53.2866954228504
"245",40083,3,-56.6440756104624,3,-57.4770377335502
"246",40084,4,-43.9551392272495,4,-44.9963418811092
"247",40085,4,-44.9976988426899,4,-46.0389014965497
"248",40086,1,-50.4524332308385,1,-51.0771548231543
"249",40087,3,-55.8680487482918,3,-56.7010108713796
"250",40088,3,-79.7877060593195,3,-80.6206681824073
"251",40089,3,-70.2781784761995,3,-71.1111405992873
"252",40090,1,-71.6769949592491,1,-72.301716551565
"253",40091,3,-70.9424713630919,3,-71.7754334861797
"254",40092,1,-71.4927466718913,1,-72.1174682642072
"255",40093,4,-76.2226676234372,4,-77.2638702772969
"256",40094,3,-69.5118806241756,3,-70.3448427472634
"257",40095,4,-79.6204144605632,4,-80.6616171144229
"258",40096,4,-86.181360821314,4,-87.2225634751738
"259",40097,4,-87.4699578159573,4,-88.5111604698171
"260",40098,1,-479.242948307697,1,-475.708786816653
"261",40099,3,-720.283391174376,3,-713.52787335792
"262",40100,1,-803.786329736649,1,-798.719691374308
"263",40101,1,-1441.81534222516,1,-1434.98534386811
